,dr7objid,ra,dec,p_el,p_cs,t_el,t_cs,t_dk
0,587722952230175035,236.2869,-0.518,0.151999995112419,0.818000018596649,0,1,0
1,587722952230175138,236.3422,-0.4670278,0.210999995470047,0.763000011444092,0,1,0
2,587722952230175173,236.3693,-0.5744445,0.0769999995827675,0.922999978065491,0,1,0
3,587722952230240617,236.3973,-0.4934722,0.0,1.0,0,1,0
4,587722952230306133,236.5877,-0.5544444,0.146999999880791,0.852999985218048,0,1,0
5,587722952230371830,236.6992,-0.5387778,0.773999989032745,0.0320000015199184,1,0,0
6,587722952230437344,236.84,-0.5672222,0.828000009059906,0.0520000010728836,1,0,0
7,587722952230437350,236.8406,-0.4265555,0.833000004291534,0.0,1,0,0
8,587722952230502748,237.0338,-0.4406111,0.869000017642975,0.0890000015497208,1,0,0
9,587722952230633836,237.3043,-0.4821667,0.0370000004768372,0.962999999523163,0,1,0
10,587722952230633900,237.3537,-0.4577778,0.792999982833862,0.137999996542931,1,0,0
11,587722952230699057,237.4543,-0.4258056,0.108000002801418,0.783999979496002,0,1,0
12,587722952230699523,237.5452,-0.5130833,0.119999997317791,0.870000004768372,0,1,0
13,587722952230830334,237.7213,-0.5204167,0.945999979972839,0.0359999984502792,1,0,0
14,587722952230961460,238.1482,-0.5060555,0.0359999984502792,0.96399998664856,0,1,0
15,587722952230961709,238.123,-0.4725555,0.864000022411346,0.0670000016689301,1,0,0
16,587722952230961739,238.1546,-0.5444722,0.00800000037997961,0.950999975204468,0,1,0
17,587722952230961837,238.1303,-0.6279445,0.800000011920929,0.0769999995827675,1,0,0
18,587722952231027049,238.1888,-0.5583333,0.97299998998642,0.0,1,0,0
19,587722952231027064,238.1924,-0.5148333,0.762000024318695,0.0949999988079071,1,0,0
20,587722952231027067,238.1963,-0.50175,0.888999998569489,0.0370000004768372,1,0,0
21,587722952231027068,238.1968,-0.5071945,0.850000023841858,0.0500000007450581,1,0,0
22,587722952231092565,238.3374,-0.5180278,0.852999985218048,0.028999999165535,1,0,0
23,587722952231092703,238.4239,-0.5730278,0.0,0.940999984741211,0,1,0
24,587722952231158477,238.5902,-0.6230556,0.768999993801117,0.0769999995827675,1,0,0
25,587722952231420089,239.1919,-0.4201667,0.12899999320507,0.0,0,0,1
26,587722952231616658,239.6156,-0.543,0.846000015735626,0.0379999987781048,1,0,0
27,587722952231616782,239.5208,-0.585,0.884999990463257,0.0379999987781048,1,0,0
28,587722952231616845,239.5665,-0.5987222,0.908999979496002,0.0610000006854534,1,0,0
29,587722952231682275,239.6985,-0.4503611,0.762000024318695,0.238000005483627,1,0,0
30,587722952231682420,239.7823,-0.5531389,0.222000002861023,0.777999997138977,0,1,0
31,587722952231682441,239.7921,-0.6006389,0.0829999968409538,0.875,0,1,0
32,587722952231813242,240.0509,-0.5463889,0.768999993801117,0.0769999995827675,1,0,0
33,587722952231878937,240.1409,-0.6092778,0.846000015735626,0.0379999987781048,1,0,0
34,587722952231944566,240.3063,-0.5865555,0.143999993801117,0.851000010967255,0,1,0
35,587722952231944579,240.3112,-0.6083333,0.862999975681305,0.0780000016093254,1,0,0
36,587722952232010118,240.4538,-0.6225556,0.841000020503998,0.0,1,0,0
37,587722952232075461,240.6792,-0.4229167,0.0,0.0,0,0,1
38,587722952232075542,240.5761,-0.4756944,0.800000011920929,0.0860000029206276,1,0,0
